region,year,wgs84,rd
rpagebied,2006,https://cartomap.github.io/nl/wgs84/rpagebied_2006.geojson,https://cartomap.github.io/nl/rd/rpagebied_2006.geojson
rpagebied,2007,https://cartomap.github.io/nl/wgs84/rpagebied_2007.geojson,https://cartomap.github.io/nl/rd/rpagebied_2007.geojson
rpagebied,2008,https://cartomap.github.io/nl/wgs84/rpagebied_2008.geojson,https://cartomap.github.io/nl/rd/rpagebied_2008.geojson
rpagebied,2009,https://cartomap.github.io/nl/wgs84/rpagebied_2009.geojson,https://cartomap.github.io/nl/rd/rpagebied_2009.geojson
rpagebied,2010,https://cartomap.github.io/nl/wgs84/rpagebied_2010.geojson,https://cartomap.github.io/nl/rd/rpagebied_2010.geojson
rpagebied,2011,https://cartomap.github.io/nl/wgs84/rpagebied_2011.geojson,https://cartomap.github.io/nl/rd/rpagebied_2011.geojson
rpagebied,2012,https://cartomap.github.io/nl/wgs84/rpagebied_2012.geojson,https://cartomap.github.io/nl/rd/rpagebied_2012.geojson
rpagebied,2013,https://cartomap.github.io/nl/wgs84/rpagebied_2013.geojson,https://cartomap.github.io/nl/rd/rpagebied_2013.geojson
rpagebied,2014,https://cartomap.github.io/nl/wgs84/rpagebied_2014.geojson,https://cartomap.github.io/nl/rd/rpagebied_2014.geojson
rpagebied,2015,https://cartomap.github.io/nl/wgs84/rpagebied_2015.geojson,https://cartomap.github.io/nl/rd/rpagebied_2015.geojson
rpagebied,2016,https://cartomap.github.io/nl/wgs84/rpagebied_2016.geojson,https://cartomap.github.io/nl/rd/rpagebied_2016.geojson
stadsgewest,2000,https://cartomap.github.io/nl/wgs84/stadsgewest_2000.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2000.geojson
stadsgewest,2001,https://cartomap.github.io/nl/wgs84/stadsgewest_2001.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2001.geojson
stadsgewest,2002,https://cartomap.github.io/nl/wgs84/stadsgewest_2002.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2002.geojson
stadsgewest,2003,https://cartomap.github.io/nl/wgs84/stadsgewest_2003.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2003.geojson
stadsgewest,2004,https://cartomap.github.io/nl/wgs84/stadsgewest_2004.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2004.geojson
stadsgewest,2005,https://cartomap.github.io/nl/wgs84/stadsgewest_2005.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2005.geojson
stadsgewest,2006,https://cartomap.github.io/nl/wgs84/stadsgewest_2006.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2006.geojson
stadsgewest,2007,https://cartomap.github.io/nl/wgs84/stadsgewest_2007.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2007.geojson
stadsgewest,2008,https://cartomap.github.io/nl/wgs84/stadsgewest_2008.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2008.geojson
stadsgewest,2009,https://cartomap.github.io/nl/wgs84/stadsgewest_2009.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2009.geojson
stadsgewest,2010,https://cartomap.github.io/nl/wgs84/stadsgewest_2010.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2010.geojson
stadsgewest,2011,https://cartomap.github.io/nl/wgs84/stadsgewest_2011.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2011.geojson
stadsgewest,2012,https://cartomap.github.io/nl/wgs84/stadsgewest_2012.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2012.geojson
stadsgewest,2013,https://cartomap.github.io/nl/wgs84/stadsgewest_2013.geojson,https://cartomap.github.io/nl/rd/stadsgewest_2013.geojson
